EL3_core_0=>
VA=		PA=		Size=
===================================================
0	0	2MB
801c0000	801c0000	4KB
801c1000	801c1000	4KB
801c2000	801c2000	4KB
801c3000	801c3000	4KB
80200000	1cf400000	2MB
80e00000	81c00000	2MB
81000000	81e00000	2MB
81200000	1f8e00000	2MB
8195a000	1bfad7000	4KB
819a0000	a86f6000	4KB
81a00000	81a00000	2MB
81c81000	151453000	4KB
81e00000	80200000	2MB
82000000	82000000	4KB
82400000	1d1800000	2MB
82600000	1d1a00000	2MB
83c64000	1d3e4f000	4KB
89600000	176800000	2MB
8a200000	1f8a00000	2MB
8a400000	1f8c00000	2MB
8ac6f000	182f51000	4KB
ace22000	d5e6e000	4KB
cca00000	176a00000	2MB
e4e00000	d6000000	2MB
e5800000	1d5000000	2MB
e6600000	224000000	2MB
e6800000	1f9600000	2MB
e6e00000	80400000	2MB
e7600000	1e1600000	2MB
e7800000	1e1800000	2MB
10eb71000	1c04fa000	4KB
131000000	80600000	2MB
139400000	17c400000	2MB
144e85000	258899000	4KB
17cc00000	14e400000	2MB
185000000	81800000	2MB
256400000	1d0a00000	2MB
EL1NS_core_0=>
VA=		PA=		Size=
===================================================
16fa00000	14e600000	2MB
1e9036000	1d1402000	4KB
1e9400000	1d5c00000	2MB
1e9e00000	1bfc00000	2MB
1ea001000	1d4509000	4KB
1ea003000	1d4042000	4KB
1ea055000	1bfba0000	4KB
1ea200000	1d6800000	2MB
1ea470000	d5f47000	4KB
1ea7c1000	1f9565000	4KB
1eab6c000	1c0415000	4KB
1eabd7000	1d15d6000	4KB
1eac00000	1d4a00000	2MB
1eb200000	1d1600000	2MB
1eb400000	d6000000	2MB
206600000	1c0200000	2MB
216c00000	21d800000	2MB
216e00000	21da00000	2MB
21cde2000	1d3a3c000	4KB
21d200000	1d4c00000	2MB
21d400000	1d4e00000	2MB
21f0f8000	d5f3a000	4KB
232200000	1d5a00000	2MB
252400000	1db000000	2MB
2591c2000	1e7904000	4KB
259c00000	221400000	2MB
263600000	1bfe00000	2MB
264f50000	bd40e000	4KB
267a00000	1d3000000	2MB
268a00000	211800000	2MB
275600000	98600000	2MB
EL3_core_1=>
VA=		PA=		Size=
===================================================
0	0	2MB
801c0000	801c0000	4KB
801c1000	801c1000	4KB
801c2000	801c2000	4KB
801c3000	801c3000	4KB
af557000	1c0412000	4KB
afa00000	ae600000	2MB
b1a00000	1d6400000	2MB
d7800000	27f000000	2MB
dfa79000	27f63d000	4KB
e23b9000	1d3e2e000	4KB
e520a000	a3225000	4KB
1074d8000	1d6226000	4KB
11ea00000	14fe00000	2MB
11fa01000	1d4145000	4KB
11fa02000	1d4146000	4KB
1220bd000	1d4392000	4KB
1224f2000	1d4161000	4KB
1299a5000	1d552b000	4KB
132e00000	1cf800000	2MB
135420000	1d63af000	4KB
135421000	1d63b0000	4KB
135422000	1d63b1000	4KB
144400000	1d0c00000	2MB
15ba00000	1d3c00000	2MB
172800000	d6000000	2MB
1dfc00000	1d3400000	2MB
1ed27b000	d5fd5000	4KB
1f689a000	b2335000	4KB
1f689b000	b2336000	4KB
1f689c000	b2337000	4KB
204a00000	1d4600000	2MB
231063000	1458ef000	4KB
233600000	1d4800000	2MB
233e00000	1d7e00000	2MB
2395d5000	1e1472000	4KB
239c22000	d5fd0000	4KB
27e400000	27e400000	2MB
27e600000	242000000	2MB
27fa00000	1d5e00000	2MB
27fec0000	1d1139000	4KB
27fec1000	1d113a000	4KB
280000000	81400000	2MB
EL1NS_core_1=>
VA=		PA=		Size=
===================================================
88e00000	1cfc00000	2MB
89600000	1f7c00000	2MB
8aa00000	268400000	2MB
91800000	1f9000000	2MB
91a00000	1d0e00000	2MB
91c00000	a4c00000	2MB
91e00000	d6000000	2MB
c8400000	1d9e00000	2MB
f3400000	14ba00000	2MB
107a00000	1f8000000	2MB
112c00000	172200000	2MB
113800000	1f2e00000	2MB
115e00000	1d3600000	2MB
11762c000	150a1c000	4KB
18cb19000	1ecad2000	4KB
190514000	27ed1e000	4KB
191e00000	1c0000000	2MB
199400000	1d6000000	2MB
1dbc00000	21ac00000	2MB
1f00d3000	a3997000	4KB
254400000	1d2e00000	2MB
2747e2000	1d3e21000	4KB
275200000	150400000	2MB
275f77000	d5ff8000	4KB
276200000	153000000	2MB
2770ea000	1d3e0d000	4KB
277901000	a5190000	4KB
27f600000	1cf600000	2MB
280000000	c1e00000	2MB
